0.000000	2.092866	N
2.092866	3.641738	D#:hdim7
3.641738	5.160388	G#:7
5.160388	6.784815	C#:min7
6.784815	8.197688	B:maj
8.197688	9.769227	A:maj
9.769227	11.469208	B:maj
11.469208	12.058535	E:maj
12.058535	13.191856	N
13.191856	13.584741	B:maj/3
13.584741	15.118502	E:maj
15.118502	16.637152	B:maj/3
16.637152	19.685206	C#:min
19.685206	21.253546	F#:min7
21.253546	22.787307	B:maj
22.787307	24.317290	E:sus4
24.317290	25.851051	E:maj
25.851051	28.899685	E:maj(9)
28.899685	31.974762	A:maj/5
31.974762	35.080062	A:min/5
35.080062	38.117362	E:maj
38.117362	39.938231	D#:hdim7
39.938231	41.260439	G#:7
41.260439	42.748867	C#:min
42.748867	44.327961	B:maj
44.327961	47.357706	A:maj(9)
47.357706	50.840779	B:maj 
50.840779	53.477639	E:maj
53.477639	56.537605	A:maj/5
56.537605	59.431352	A:min/5
59.431352	62.808648	E:maj
62.808648	64.455741	D#:hdim7
64.455741	65.861059	G#:7
65.861059	67.364598	C#:min7
67.364598	69.117468	E:maj7/5
69.117468	72.064103	A:maj
72.064103	73.605419	B:sus4 
73.605419	75.116514	N
75.116514	76.597387	A:maj
76.597387	78.229369	G#:7
78.229369	79.710241	C#:min7
79.710241	81.327113	G#:min/b3
81.327113	82.838207	A:maj
82.838207	84.424857	B:maj
84.424857	87.311047	E:maj
87.311047	88.852364	D#:hdim7
88.852364	90.408791	G#:7
90.408791	92.010552	C#:min7
92.010552	93.597201	B:maj(6)
93.597201	95.138518	A:maj
95.138518	96.649612	F#:min
96.649612	99.732245	B:maj
99.732245	101.213118	A:maj
101.213118	102.845100	G#:7
102.845100	104.325973	C#:min7
104.325973	105.942844	E:maj7/5
105.942844	107.453939	A:maj
107.453939	109.040588	B:maj
109.040588	111.926779	E:maj
111.926779	113.468095	D#:hdim7
113.468095	115.024523	G#:7
115.024523	116.626283	C#:min7
116.626283	118.212932	B:maj
118.212932	119.754249	A:maj
119.754249	122.957770	B:maj
122.957770	125.874182	N
125.874182	128.941704	E:maj
128.941704	132.024337	A:maj/5
132.024337	135.106970	A:min/5
135.106970	138.159382	E:maj
138.159382	139.730920	D#:hdim7
139.730920	141.257126	G#:7
141.257126	142.768220	C#:min7
142.768220	144.324648	E:maj7/5
144.324648	147.400718	A:maj
147.400718	150.489914	B:maj
150.489914	152.031230	A:maj
152.031230	153.587658	G#:7
153.587658	155.068530	C#:min7
155.068530	156.640069	B:maj
156.640069	158.196496	A:maj
158.196496	159.722702	B:maj
159.722702	162.760002	E:maj
162.760002	164.316429	D#:hdim7
164.316429	165.857746	G#:7
165.857746	167.368841	C#:min7
167.368841	168.955490	B:maj
168.955490	170.496807	A:maj
170.496807	172.007901	F#:min
172.007901	175.090534	B:maj
175.090534	176.631851	A:maj
176.631851	178.203389	G#:7
178.203389	179.684262	C#:min7
179.684262	181.225578	B:maj
181.225578	182.812228	A:maj
182.812228	184.323322	B:maj
184.323322	187.421066	E:maj
187.421066	188.962383	D#:hdim7
188.962383	190.473477	G#:7
190.473477	192.028582	C#:min7
192.028582	193.571221	G#:min/b3
193.571221	195.112538	A:maj
195.112538	196.623633	B:maj
196.623633	197.008962	N
197.008962	197.590733	C:maj
197.590733	197.979840	D:7/b7
197.979840	198.773165	C:maj
198.773165	199.317159	D:7/b7
199.317159	199.713821	C:maj
199.713821	202.788899	D:maj
202.788899	205.871532	C:maj
205.871532	208.908832	E:maj
208.908832	210.472815	D#:hdim7
210.472815	212.070797	G#:7
212.070797	213.532781	C#:min7
213.532781	215.123209	B:maj(6)
215.123209	216.630525	A:maj
216.630525	218.353173	A:maj/2
218.353173	221.194031	E:maj7
221.194031	222.780681	D#:hdim7
222.780681	224.355997	G#:7
224.355997	225.833092	C#:min7
225.833092	227.408408	B:maj
227.408408	228.961058	A:maj
228.961058	230.487263	F#:min
230.487263	233.388565	B:maj
233.388565	235.080991	A:maj
235.080991	236.667640	G#:7
236.667640	238.163624	C#:min7
238.163624	239.331414	B:maj
239.331414	241.261368	A:maj
241.261368	242.802684	B:maj
242.802684	243.543121	E:maj
243.543121	244.332668	F#:min7
244.332668	245.870206	E:maj/3
245.870206	247.419078	D#:hdim7
247.419078	248.945284	G#:7
248.945284	250.471490	C#:min7
250.471490	252.020362	B:maj
252.020362	253.561678	A:maj
253.561678	258.223405	B:maj
258.223405	259.711833	E:maj
259.711833	261.275816	B:maj/3
261.275816	263.927787	C#:min
263.927787	264.328227	B:maj/3
264.328227	265.861988	E:maj
265.861988	267.380638	B:maj/3
267.380638	271.838368	C#:min11
271.838368	280.700938	E:maj
